1	57	195.242.218.133	Windows 2000	Internet Explorer 5.5	10시 00분 09초	http://valdaidom.ru/
1	56	14.63.52.168	Windows 7	Internet Explorer 10.0	08시 53분 13초	Direct Contact (Typing or Bookmark)
1	55	14.47.219.218	Android	Gecko	08시 48분 49초	http://m.search.naver.com/search.naver?sm=mob_sug.idx&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&acq=%EB%AC%B4%EC%9A%A9%EC%97%B0&acr=1&qdt=0
1	54	175.209.106.81	Mac OS	Gecko	08시 37분 58초	Direct Contact (Typing or Bookmark)
1	53	123.228.77.106	Android	Gecko	08시 37분 25초	http://m.search.naver.com/search.naver?where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&sm=mob_hty.idx
1	52	178.33.178.15	Windows XP	FireFox/3.5.6	08시 21분 08초	Direct Contact (Typing or Bookmark)
1	51	193.106.136.48	Windows XP	Internet Explorer 6.0	06시 18분 00초	http://rescuer.ucoz.net/
1	50	58.225.124.225	Android	Gecko	05시 36분 06초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_jum&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5
1	49	121.189.37.126	Search Robot	help.zum.com	05시 22분 59초	Direct Contact (Typing or Bookmark)
1	48	91.207.4.206	Windows XP	Internet Explorer 6.0	04시 56분 55초	http://soldierweapons.ru/
1	47	157.56.229.245	Search Robot	www.bing.com	04시 51분 40초	Direct Contact (Typing or Bookmark)
1	46	203.226.199.54	Mac OS	Gecko	04시 36분 05초	http://m.search.naver.com/search.naver?where=m&query=%EB%B0%9C%EB%A0%88%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=mtb_rbk&qdt=0
1	45	178.137.5.76	Windows XP	Internet Explorer 6.0	04시 07분 42초	http://dneprshop.com.ua/
1	44	110.70.45.249	Android	Gecko	03시 55분 19초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
1	43	119.196.104.50	Mac OS	Gecko	02시 44분 27초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
1	42	125.209.224.110	Search Robot	help.naver.com	02시 39분 00초	Direct Contact (Typing or Bookmark)
1	41	157.56.229.211	Search Robot	www.bing.com	02시 33분 18초	Direct Contact (Typing or Bookmark)
1	40	95.108.154.252	Search Robot	yandex.com	02시 19분 18초	Direct Contact (Typing or Bookmark)
1	39	157.55.32.54	Search Robot	www.bing.com	01시 31분 02초	Direct Contact (Typing or Bookmark)
1	38	91.207.9.226	Windows XP	Opera/7.11	01시 26분 19초	http://heraldik24.ru/
1	37	39.118.140.50	Windows Vista	Internet Explorer 7.0	01시 01분 52초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	36	211.39.150.195	Search Robot	www.google.com	00시 29분 59초	Direct Contact (Typing or Bookmark)
1	35	58.238.14.52	Android	Gecko	00시 22분 26초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
1	34	175.194.86.146	Mac OS	Gecko	00시 21분 07초	http://m.search.naver.com/search.naver?where=m&query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=mtb_she&qdt=0
1	33	125.177.189.132	Windows 7	Internet Explorer 10.0	00시 18분 24초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	32	125.186.6.21	Android	Gecko	00시 08분 02초	http://m.search.naver.com/search.naver?where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&sm=mob_sly.hst&acr=1&acq=&qdt=0
1	31	220.93.124.15	Windows 7	Internet Explorer 8.0	23시 05분 37초	http://search.naver.com/search.naver?where=nexearch&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&sm=top_sug.pre&fbm=1&acr=5&acq=%EB%AC%B4%EC%9A%A9%EB%B3%B5&qdt=0&ie=utf8
1	30	221.156.57.209	Mac OS	Gecko	22시 37분 38초	http://search.naver.com/search.naver?where=nexearch&query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&ie=utf8&sm=tab_she&qdt=0
1	29	101.235.178.22	Windows XP	Chrome/29.0.1547.62	22시 14분 38초	http://search.daum.net/search?nil_suggest=btn&nil_ch=&rtupcoll=&w=tot&m=&f=&lpp=&DA=SBCO&sug=&sq=&o=&sugo=&q=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C
1	28	211.246.72.64	Android	Gecko	22시 03분 07초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5
1	27	118.61.23.135	Android	Gecko	22시 00분 39초	http://m.search.naver.com/search.naver?where=m&query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=mtb_she&qdt=0
1	26	175.198.63.194	Android	Gecko	21시 55분 06초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
1	25	203.226.220.110	Android	Gecko	21시 44분 49초	http://m.search.naver.com/search.naver?sm=mob_sug.idx&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&acq=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&acr=1&qdt=0
1	24	175.206.223.105	Android	Gecko	21시 14분 35초	http://m.search.naver.com/search.naver?where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=mtb_she&qdt=0
1	23	114.207.52.214	Windows XP	Chrome/29.0.1547.66	21시 14분 20초	http://search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	22	59.22.180.68	Windows XP	Internet Explorer 8.0	20시 40분 41초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	21	175.253.12.216	Android	Gecko	20시 09분 52초	http://m.search.naver.com/search.naver?where=m&query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=mtb_she&qdt=0
1	20	157.55.35.34	Search Robot	www.bing.com	19시 55분 36초	Direct Contact (Typing or Bookmark)
1	19	211.229.98.78	Windows XP	Internet Explorer 7.0	17시 47분 46초	http://search.daum.net/search?nil_suggest=btn&nil_ch=&rtupcoll=&w=tot&m=&f=&lpp=&DA=SBCO&sug=&sq=&o=&sugo=&q=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5
1	18	157.55.32.80	Search Robot	www.bing.com	17시 41분 18초	Direct Contact (Typing or Bookmark)
1	17	157.55.32.166	Search Robot	www.bing.com	17시 29분 17초	Direct Contact (Typing or Bookmark)
1	16	14.63.52.180	Windows XP	Internet Explorer 8.0	17시 24분 47초	http://map.naver.com/local/siteview.nhn?code=32990812
1	15	119.192.74.37	Windows 7	Internet Explorer 10.0	17시 22분 20초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	14	121.175.69.202	Windows 7	Internet Explorer 7.0	17시 05분 39초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&nso=so:r
1	13	157.55.32.75	Search Robot	www.bing.com	11시 37분 04초	Direct Contact (Typing or Bookmark)
