1	87	91.207.9.226	Windows 95	Internet Explorer 5.5	03시 06분 20초	http://comobzor.ru/
1	86	220.116.44.229	Android	Gecko	02시 18분 10초	http://m.search.naver.com/search.naver?where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&sm=mtb_she&qdt=0
1	85	223.62.188.110	Android	Gecko	01시 45분 58초	http://m.search.naver.com/search.naver?where=m&sm=mtb_jum&query=%EB%B0%9C%EB%A0%88+%EC%97%B0%EC%8A%B5%EB%B3%B5
1	84	157.55.33.250	Search Robot	www.bing.com	01시 30분 43초	Direct Contact (Typing or Bookmark)
1	83	95.108.154.252	Search Robot	yandex.com	01시 30분 35초	Direct Contact (Typing or Bookmark)
1	82	61.102.120.53	Windows 7	Internet Explorer 8.0	00시 48분 54초	http://search.naver.com/search.naver?where=nexearch&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&sm=top_hty&fbm=1&ie=utf8
1	81	223.62.162.54	Mac OS	Gecko	00시 48분 43초	https://m.facebook.com
1	80	112.140.105.146	Windows XP	Internet Explorer 8.0	00시 48분 25초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=loosfly
1	79	122.40.130.207	Mac OS	Gecko	00시 46분 15초	http://m.search.naver.com/search.naver?sm=mob_sug.idx&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acq=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC&acr=1&qdt=0
1	78	121.161.47.209	Android	Gecko	00시 17분 20초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=loosfly
1	77	210.108.189.15	Windows XP	Internet Explorer 8.0	00시 11분 16초	http://search.daum.net/search?w=tot&DA=YZRR&t__nil_searchbox=btn&sug=&sq=&o=&q=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
1	76	175.115.36.215	Mac OS	Gecko	00시 07분 59초	https://m.facebook.com
1	75	211.39.150.195	Search Robot	www.google.com	00시 05분 35초	Direct Contact (Typing or Bookmark)
1	74	157.56.93.94	Search Robot	www.bing.com	23시 40분 01초	Direct Contact (Typing or Bookmark)
1	73	91.207.4.206	Windows XP	Internet Explorer 6.0	23시 37분 51초	http://kollekcija.com/
1	72	37.115.113.111	Windows XP	Internet Explorer 6.0	23시 34분 07초	http://fedek.ru/
1	71	117.111.3.17	Android	Gecko	23시 31분 28초	http://m.search.naver.com/search.naver?where=m_site&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&start=16&display=15&sm=mtb_pge&sort=1
1	70	182.212.9.12	Android	Gecko	23시 03분 20초	http://m.search.daum.net/search?w=site&f=androidapp&nil_app=daumapp&geopos=4_IqD%24d%23%23hXd8d%2319U&nil_profile=btn&DN=ADDA&q=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&enc_all=utf8&DA=YZRR
1	69	110.70.45.175	Android	Gecko	22시 55분 51초	http://m.search.naver.com/search.naver?where=m&query=%EB%B0%9C%EB%A0%88%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=mtb_she&qdt=0
1	68	119.195.165.31	Mac OS	Gecko	22시 53분 51초	http://m.search.naver.com/search.naver?sm=mob_sug.idx&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&acq=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%A4&acr=1&qdt=0
1	67	125.183.9.11	Windows 7	Internet Explorer 7.0	22시 36분 58초	Direct Contact (Typing or Bookmark)
1	66	218.54.38.149	Android	Gecko	22시 22분 40초	Direct Contact (Typing or Bookmark)
1	65	175.203.29.45	Windows XP	Internet Explorer 7.0	21시 14분 11초	http://search.daum.net/search?w=tot&DA=YZRR&t__nil_searchbox=btn&sug=&sq=&o=&q=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
1	64	118.45.100.215	Windows 7	Internet Explorer 9.0	20시 19분 18초	http://search.naver.com/search.naver?sm=tab_sug.top&where=nexearch&acq=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&acr=1&qdt=0&ie=utf8&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5
1	63	157.55.32.52	Search Robot	www.bing.com	20시 18분 06초	Direct Contact (Typing or Bookmark)
1	62	175.223.33.88	Mac OS	Gecko	20시 18분 02초	http://m.search.daum.net/search?w=site&m=&category=&q=%B9%AB%BF%EB%BA%B9&page=4&lpp=10
1	61	112.156.232.37	Android	Gecko	20시 13분 52초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=loosfly
