1	55	74.52.245.146	Linux	FireFox/1.0	00시 07분 29초	Direct Contact (Typing or Bookmark)
1	54	118.32.109.251	Windows 7	Gecko	00시 09분 02초	Direct Contact (Typing or Bookmark)
1	53	123.213.109.111	Android	Chrome/30.0.0.0	00시 10분 26초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
1	52	223.62.173.253	Android	Gecko	00시 25분 35초	Direct Contact (Typing or Bookmark)
1	51	118.38.3.189	Windows XP	Internet Explorer 7.0	00시 41분 12초	http://search.naver.com/search.naver?where=nexearch&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&sm=top_hty&fbm=1&ie=utf8
1	50	191.238.36.225	Windows 7	Chrome/34.0.1847.131	01시 51분 00초	Direct Contact (Typing or Bookmark)
1	49	157.55.32.26	Search Robot	www.bing.com	02시 00분 14초	Direct Contact (Typing or Bookmark)
1	48	121.128.238.139	Windows 7	Gecko	02시 01분 25초	http://search.naver.com/search.naver?sm=tab_sug.top&where=nexearch&acq=%EB%AC%B4%EC%9A%A9%EB%B3%B5&acr=4&qdt=0&ie=utf8&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5
1	47	203.226.208.18	Android	Gecko	02시 03분 33초	http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.loosfly.com%2Fshop%2Fmain%2Findex.php&h=AAQH3OGrv&s=1&enc=AZOA0RisVpbbA2jCgOubQDi8HLSSzGOoeuexpZDcZF4d8RNPQyc55M-xR4pcbLHhYObfY5aSMlsRTOMZ0LP0HRBHU5g5bO5PrENNU4Hqtg0BTg
1	46	157.55.34.74	Search Robot	www.bing.com	02시 40분 14초	Direct Contact (Typing or Bookmark)
1	45	199.30.20.3	Search Robot	search.msn.com	02시 57분 10초	Direct Contact (Typing or Bookmark)
1	44	211.33.80.174	Android	Gecko	03시 39분 12초	http://m.search.naver.com/search.naver?where=m&sm=mob_sug.idx&query=%EB%B0%9C%EB%A0%88+%EC%97%B0%EC%8A%B5%EB%B3%B5&acq=%EB%B0%9C%EB%A0%88%EC%97%B0%EC%8A%B5&acr=1&qdt=0
1	43	199.30.31.150	Search Robot	search.msn.com	03시 43분 31초	Direct Contact (Typing or Bookmark)
