1	73	175.112.112.159	Windows NT	Internet Explorer 10.0	18시 56분 03초	Direct Contact (Typing or Bookmark)
1	72	173.252.73.113	Search Robot	www.facebook.com	18시 38분 03초	Direct Contact (Typing or Bookmark)
1	71	173.252.73.112	Search Robot	www.facebook.com	18시 38분 03초	Direct Contact (Typing or Bookmark)
1	70	211.252.104.61	Windows 7	Chrome/35.0.1916.114	18시 11분 43초	https://www.facebook.com/
1	69	121.153.164.63	Windows 7	Internet Explorer 7.0	17시 01분 58초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&x=0&y=0
1	68	125.209.237.56	Windows XP	Internet Explorer 7.0	16시 43분 31초	Direct Contact (Typing or Bookmark)
1	67	150.70.173.53	Windows XP	Internet Explorer 8.0	15시 49분 27초	Direct Contact (Typing or Bookmark)
1	66	150.70.172.125	Windows XP	Internet Explorer 6.0	15시 49분 15초	Direct Contact (Typing or Bookmark)
1	65	222.122.190.45	Search Robot	help.zum.com	15시 46분 44초	Direct Contact (Typing or Bookmark)
1	64	211.114.22.74	Windows XP	Internet Explorer 7.0	15시 45분 22초	Direct Contact (Typing or Bookmark)
1	63	59.0.162.100	Windows 7	Internet Explorer 8.0	15시 25분 58초	http://search.daum.net/search?nil_suggest=sugsch&w=tot&DA=IHPV&sq=%EB%8C%84%EC%8A%A4%EC%8A%A4%ED%8F%AC%EC%B8%A0&o=8&sugo=15&q=%EB%8C%84%EC%8A%A4%EC%8A%A4%ED%8F%AC%EC%B8%A0%EC%97%B0%EC%8A%B5%EB%B3%B5
1	62	223.62.188.123	Mac OS	Gecko	14시 40분 52초	Direct Contact (Typing or Bookmark)
1	61	175.223.22.63	Android	Gecko	13시 36분 38초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&qdt=0&acq=%EB%AC%B4%EC%9A%A9%EB%B3%B5&acr=4
1	60	223.62.163.113	Mac OS	Gecko	12시 49분 28초	http://m.search.naver.com/search.naver?where=m&sm=mtb_jum&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
1	59	175.223.23.234	Android	Gecko	12시 47분 56초	http://m.search.naver.com/search.naver?where=m&sm=mob_hty.idx&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acq=&acr=&qdt=1
1	58	119.197.59.168	Windows XP	Internet Explorer 7.0	12시 04분 56초	http://search.naver.com/search.naver?where=nexearch&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&sm=top_hty&fbm=1&ie=utf8
1	57	59.16.211.118	Windows XP	Chrome/31.0.1650.63	11시 17분 46초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=losefly&x=-595&y=-51
1	56	223.62.163.31	Mac OS	Gecko	11시 05분 37초	http://m.search.naver.com/search.naver?where=m&sm=mob_hty.idx&query=loosfly&acq=&acr=&qdt=1
1	55	175.223.18.171	Mac OS	Gecko	10시 58분 26초	http://m.search.naver.com/search.naver?query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&where=m&sm=mtp_hty
1	54	157.56.93.96	Search Robot	www.bing.com	10시 50분 54초	Direct Contact (Typing or Bookmark)
1	53	123.215.170.80	Mac OS	Gecko	10시 39분 18초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&qdt=0&acq=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acr=1
