1	114	147.47.117.202	Windows NT	Internet Explorer 10.0	11시 50분 32초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5+%ED%83%91&x=0&y=0
1	113	157.55.39.15	Windows 7	Internet Explorer 9.0	11시 40분 20초	Direct Contact (Typing or Bookmark)
1	112	125.209.211.200	Search Robot	help.naver.com	11시 21분 05초	Direct Contact (Typing or Bookmark)
1	111	75.118.80.236	Android	Gecko	10시 48분 53초	Direct Contact (Typing or Bookmark)
1	110	14.35.134.161	Windows XP	Internet Explorer 7.0	10시 38분 43초	http://search.daum.net/search?w=tot&DA=YZR&t__nil_searchbox=btn&sug=&o=&q=%EB%B0%9C%EB%A0%88%EC%97%B0%EC%8A%B5%EB%B3%B5
1	109	150.70.173.38	Windows XP	Internet Explorer 8.0	10시 22분 24초	Direct Contact (Typing or Bookmark)
1	108	203.226.200.185	Mac OS	Gecko	10시 20분 50초	Direct Contact (Typing or Bookmark)
1	107	211.114.22.74	Windows XP	Internet Explorer 7.0	10시 12분 51초	Direct Contact (Typing or Bookmark)
1	106	180.148.180.12	Windows 7	Internet Explorer 9.0	10시 09분 59초	Direct Contact (Typing or Bookmark)
1	105	211.234.201.226	Android	Gecko	09시 55분 39초	Direct Contact (Typing or Bookmark)
1	104	220.92.64.51	Android	Gecko	09시 50분 58초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&qdt=0&acq=%EB%AC%B4%EC%9A%A9%EB%B3%B5&acr=2
1	103	222.101.99.194	Android	Gecko	09시 36분 36초	http://lm.facebook.com/l.php?u=http%3A%2F%2Fwww.loosfly.com%2F&h=HAQGEvnlJ&s=1
1	102	54.83.133.24	Search Robot	pinterest.com	09시 23분 44초	Direct Contact (Typing or Bookmark)
1	101	14.63.52.168	Windows 7	Gecko	09시 20분 04초	Direct Contact (Typing or Bookmark)
1	100	147.43.125.27	Windows 7	Internet Explorer 7.0	09시 16분 45초	Direct Contact (Typing or Bookmark)
1	99	220.88.81.235	Android	Gecko	09시 12분 11초	Direct Contact (Typing or Bookmark)
1	98	210.93.16.138	Windows 7	Gecko	09시 11분 28초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&x=0&y=0
1	97	54.82.159.153	Search Robot	pinterest.com	09시 07분 29초	Direct Contact (Typing or Bookmark)
1	96	203.229.137.1	Windows XP	Internet Explorer 7.0	08시 40분 23초	http://search.naver.com/search.naver?where=nexearch&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&sm=top_hty&fbm=0&ie=utf8
1	95	218.52.24.63	Android	Gecko	08시 29분 55초	http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.loosfly.com%2F&h=GAQEop2vp&s=1&enc=AZOJQmC7JxByRZ1KddIaJ3561Ce8zwH-UbCVt6RoKpYa-dMeB1CMD1wnn-aJbAwIKPFNBA85LsmJRShBXEVgmkdyeAFC5J5-F5qsBsSunkkbNg
1	94	91.108.83.97	Windows 7	FireFox/18.0	08시 28분 58초	Direct Contact (Typing or Bookmark)
1	93	175.223.18.69	Mac OS	Gecko	08시 21분 00초	http://m.search.naver.com/search.naver?where=m&sm=mob_sug.idx&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acq=%EB%A3%A8%EC%8A%A4%ED%94%84&acr=3&qdt=0
